Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
Indianapolis,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",1207885.64,1173854.50,-0.028174140,1022859.50,1141746.69,0.116230221,0.846818166,0.972647536,0.148590779
Jacksonville,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",1030756.09,874873.45,-0.151231358,856269.21,1104372.26,0.289748891,0.830719522,1.262322298,0.519552947
"Las Vegas",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",1782659.07,1659852.81,-0.068889370,1544767.73,1869538.64,0.210239316,0.866552533,1.126327968,0.299780366
"Los Angeles",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",13905892.39,12618034.53,-0.092612385,15339966.63,16116311.41,0.050609288,1.103127092,1.277244199,0.157839572
Louisville,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",603525.27,600407.76,-0.005165503,565342.44,598969.32,0.059480564,0.936733665,0.997604240,0.064981730
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",4423162.11,3857516.48,-0.127882636,3719660.14,4698848.02,0.263246599,0.840950445,1.218101866,0.448482338
Nashville,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",1347849.39,1271106.63,-0.056937194,1145023.30,1459485.70,0.274634065,0.849518728,1.148200844,0.351589796
"Northern New England",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2477398.40,2190806.01,-0.115682804,2567220.85,2620242.04,0.020653148,1.036256764,1.196017372,0.154170871
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",1517025.36,1289473.07,-0.149999005,1083884.63,1293180.57,0.193097988,0.714480229,1.002875208,0.403643050
"New York",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",9200322.51,7975601.70,-0.133117161,9998517.49,11600404.09,0.160212411,1.086757282,1.454486386,0.338372799
Orlando,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2663864.55,2232700.84,-0.161856467,2130151.86,2689656.34,0.262659436,0.799647212,1.204664904,0.506495471
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",611737.48,545909.43,-0.107608328,511346.69,546137.92,0.068038448,0.835892361,1.000418548,0.196827001
Philadelphia,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2982248.46,2520986.97,-0.154669036,2908580.22,3230748.06,0.110764642,0.975297750,1.281540962,0.313999710
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",6162844.07,5176491.38,-0.160048296,4353933.01,5054313.92,0.160861664,0.706481126,0.976397632,0.382057633
Pittsburgh,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",595473.36,603146.78,0.012886242,625271.93,721684.75,0.154193422,1.050041809,1.196532541,0.139509428
Portland,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",3533237.50,2921363.63,-0.173176547,3534360.93,3808185.82,0.077475076,1.000317961,1.303564465,0.303150114
Providence,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",387516.78,363990.41,-0.060710567,537150.70,553577.50,0.030581365,1.386135348,1.520857371,0.097192546
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2062811.57,1852618.63,-0.101896335,1991670.43,2276246.34,0.142883034,0.965512536,1.228664283,0.272551352
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",1527694.30,1465485.32,-0.040720826,1442521.37,1625496.33,0.126843845,0.944247402,1.109186359,0.174677691
Roanoke,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",896452.86,852972.04,-0.048503189,794432.90,890135.57,0.120466645,0.886195957,1.043569458,0.177583185
Sacramento,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2334354.25,1892913.41,-0.189106190,2672501.48,2880374.48,0.077782183,1.144856864,1.521662041,0.329128635
"San Diego",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2462898.67,2389131.20,-0.029951486,2903456.25,3062769.81,0.054870314,1.178877672,1.281959656,0.087440781
"San Francisco",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",3978512.76,3437456.16,-0.135994689,5319269.31,5298976.00,-0.003815056,1.336999435,1.541539953,0.152984746
Seattle,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",3141243.37,2611838.46,-0.168533555,3734552.71,3997857.93,0.070505154,1.188877231,1.530668147,0.287490506
"South Carolina",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2335273.25,2158961.52,-0.075499402,2119454.46,2690734.35,0.269541008,0.907583068,1.246309549,0.373218158
Spokane,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",421058.13,354646.00,-0.157726735,411966.49,474401.04,0.151552504,0.978407632,1.337674844,0.367195840
"St. Louis",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",1018093.89,851230.71,-0.163897632,883258.83,959348.08,0.086146041,0.867561268,1.127012999,0.299058683
Syracuse,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",421412.18,366799.76,-0.129593840,467335.94,474059.17,0.014386286,1.108975876,1.292419530,0.165417173
Tampa,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",2768796.49,2442083.86,-0.117998064,2216863.76,2812181.20,0.268540380,0.800659698,1.151549806,0.438251243
Toledo,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",689695.41,640578.35,-0.071215588,586795.67,601904.19,0.025747491,0.850804075,0.939626177,0.104397833
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",4131074.37,3662703.61,-0.113377469,2877069.08,3784900.71,0.315540436,0.696445722,1.033362539,0.483766079
Wichita,Avocados,Hass,"Last 04 Wks",1,"2022-01-23 00:00:00",480240.88,393817.10,-0.179959220,363795.09,426084.89,0.171222192,0.757526298,1.081935964,0.428248717
"Total U.S.",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",192665040.20,174120320.70,-0.096253682,181368064.00,220844157.60,0.217657358,0.941364680,1.268342240,0.347344198
California,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",29139248.62,28095716.80,-0.035811899,32889076.74,38261779.16,0.163358262,1.128686507,1.361836733,0.206567744
"Great Lakes",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",18786725.20,19367858.36,0.030933181,18068818.99,22954496.77,0.270392756,0.961786517,1.185185080,0.232274584
Midsouth,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",19384688.58,17787609.32,-0.082388698,18883337.01,22630964.35,0.198462133,0.974136723,1.272288139,0.306067319
Northeast,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",28015243.87,25374602.30,-0.094257312,30209391.52,36744741.10,0.216335029,1.078319777,1.448091310,0.342914543
Plains,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",9226428.55,8220487.69,-0.109028195,8360407.17,10058453.73,0.203105725,0.906136880,1.223583576,0.350329739
"South Central",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",27272079.45,22133637.18,-0.188414025,19274557.65,23407379.57,0.214418509,0.706750568,1.057547812,0.496352262
Southeast,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",26903893.19,22731842.90,-0.155072363,22991784.13,28110040.69,0.222612414,0.854589481,1.236593127,0.447002513
West,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",33936732.80,30408566.18,-0.103963061,30690690.79,38676302.26,0.260196537,0.904350191,1.271888389,0.406411368
Albany,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",630965.41,604836.85,-0.041410446,638973.76,683386.58,0.069506475,1.012692216,1.129869273,0.115708460
Atlanta,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",3635935.76,3411737.29,-0.061661837,3192490.14,4119027.85,0.290224144,0.878038102,1.207310971,0.375009772
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",4957463.40,4324342.97,-0.127710560,5358929.59,6095843.85,0.137511466,1.080982179,1.409657813,0.304052777
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1649626.27,1404559.49,-0.148558967,1361680.34,1666504.05,0.223858498,0.825447776,1.186495877,0.437396660
Boise,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",564212.66,509139.95,-0.097609832,568179.30,712533.56,0.254064620,1.007030414,1.399484678,0.389714410
Boston,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",3250970.17,2777268.97,-0.145710717,4056185.56,4509549.32,0.111770962,1.247684643,1.623735173,0.301398700
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",907532.98,827412.80,-0.088283493,988240.90,1117386.31,0.130682111,1.088931117,1.350458092,0.240168520
Charlotte,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1683856.55,1511381.16,-0.102428792,1696096.12,2106490.07,0.241963849,1.007268773,1.393751707,0.383693949
Chicago,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",4244707.72,4424425.30,0.042339212,4649551.65,6140811.14,0.320731889,1.095376162,1.387934187,0.267084528
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1344618.66,1499293.21,0.115032284,1257554.41,1683727.02,0.338890000,0.935249855,1.123013833,0.200763439
Columbus,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1139909.75,1221457.63,0.071538887,1036961.08,1349981.91,0.301863633,0.909686992,1.105222057,0.214947632
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",6899771.13,6314183.85,-0.084870537,5104899.10,6285556.10,0.231279206,0.739864989,0.995466120,0.345469964
Denver,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",4686849.49,4089044.05,-0.127549527,4412252.98,5636822.79,0.277538440,0.941411282,1.378518481,0.464310559
Detroit,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2146563.86,2290214.65,0.066921278,2008248.44,2469012.49,0.229435783,0.935564267,1.078070342,0.152320990
"Grand Rapids",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",874724.68,842751.50,-0.036552274,990552.46,1043824.13,0.053779764,1.132416272,1.238590658,0.093759148
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1856171.17,1667224.04,-0.101794022,1830991.93,2234054.68,0.220133549,0.986434850,1.339984685,0.358411744
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1786063.66,1639628.59,-0.081987596,2162172.79,2480635.78,0.147288412,1.210579912,1.512925423,0.249752626
Houston,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",5165337.19,4029050.47,-0.219983068,3566349.06,4274823.07,0.198655260,0.690438771,1.061000128,0.536704154
Indianapolis,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1154703.99,1239956.41,0.073830539,1002489.04,1325156.70,0.321866516,0.868178382,1.068712326,0.230982421
Jacksonville,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1188159.52,897441.69,-0.244679122,1020624.63,1192182.02,0.168090579,0.858996305,1.328422820,0.546482577
"Las Vegas",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1977674.38,1850353.66,-0.064379013,1710703.39,2116720.43,0.237339240,0.865007608,1.143954520,0.322479142
"Los Angeles",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",14422422.19,13891229.03,-0.036831064,15212880.11,18007874.51,0.183725526,1.054807571,1.296348543,0.228990556
Louisville,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",579392.84,595809.84,0.028334826,528486.77,668899.83,0.265688885,0.912138931,1.122673352,0.230813985
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",5086339.00,4101916.69,-0.193542411,4448316.91,5296997.38,0.190786873,0.874561626,1.291346895,0.476564781
Nashville,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1395062.37,1331326.93,-0.045686448,1246302.80,1595823.13,0.280445754,0.893367082,1.198671112,0.341745332
"Northern New England",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2477130.39,2350046.31,-0.051302945,2428723.01,2765844.61,0.138806112,0.980458283,1.176931961,0.200389636
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1544285.64,1143669.41,-0.259418477,1133299.62,1285811.20,0.134573043,0.733866581,1.124285734,0.532002904
"New York",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",10150524.29,9245277.13,-0.089182306,10875298.66,14209758.24,0.306608553,1.071402653,1.536974830,0.434544544
Orlando,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2962331.45,2299310.39,-0.223817309,2501712.69,2895983.09,0.157600194,0.844508027,1.259500718,0.491401713
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",599484.22,598579.73,-0.001508781,498640.83,633941.67,0.271339286,0.831783077,1.059076417,0.273260357
Philadelphia,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",3206154.59,2797173.11,-0.127561372,3139741.80,3919149.21,0.248239330,0.979285843,1.401110709,0.430747436
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",6477631.78,5862442.87,-0.094971268,4503158.79,5994028.12,0.331071898,0.695185979,1.022445463,0.470750984
Pittsburgh,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",599425.63,631597.98,0.053671961,625808.42,822742.47,0.314687441,1.044013447,1.302636321,0.247719868
Portland,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",3175981.61,2715589.26,-0.144960647,3416322.94,3944845.70,0.154705152,1.075674661,1.452666556,0.350470183
Providence,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",459408.85,374422.04,-0.184991665,618069.59,656646.85,0.062415722,1.345358484,1.753761211,0.303564240
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2141254.77,1877706.70,-0.123081136,2098519.76,2511441.54,0.196768116,0.980042073,1.337504702,0.364742127
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1571902.17,1461720.99,-0.070094171,1488225.79,1757069.49,0.180647115,0.946767438,1.202055315,0.269641589
Roanoke,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",903121.58,873504.29,-0.032794357,836906.62,1001241.48,0.196359842,0.926682120,1.146235326,0.236923969
Sacramento,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2270190.28,2072403.65,-0.087123371,2748884.20,3119212.26,0.134719413,1.210860700,1.505118106,0.243015076
"San Diego",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2606252.99,2648298.33,0.016132488,2796369.84,3333680.27,0.192145693,1.072946431,1.258800878,0.173218756
"San Francisco",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",3823284.83,3708332.15,-0.030066470,5204324.99,5684785.28,0.092319425,1.361218224,1.532976294,0.126179673
Seattle,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2891052.21,2496598.66,-0.136439441,3649226.05,4308386.53,0.180630213,1.262248411,1.725702495,0.367165512
"South Carolina",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",2436449.50,2257322.47,-0.073519697,2281123.93,2939943.81,0.288813714,0.936249214,1.302403109,0.391085930
Spokane,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",381162.76,350079.24,-0.081549204,400469.31,516720.00,0.290286154,1.050651710,1.476008689,0.404850603
"St. Louis",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",1023656.04,841927.59,-0.177528824,877362.05,967775.27,0.103051205,0.857086776,1.149475663,0.341142689
Syracuse,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",435730.38,387502.90,-0.110681931,464017.07,494470.43,0.065629845,1.064917854,1.276043170,0.198255025
Tampa,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",3102579.95,2517792.50,-0.188484250,2538818.70,2996206.14,0.180157584,0.818292757,1.190013137,0.454263313
Toledo,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",640154.87,690216.01,0.078201620,551328.18,706364.08,0.281204382,0.861241879,1.023395671,0.188279036
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",4638865.09,4250359.21,-0.083750200,3234307.88,4394286.48,0.358648170,0.697219646,1.033862378,0.482835981
Wichita,Avocados,Hass,"Last 04 Wks",2,"2022-02-20 00:00:00",477421.14,475291.10,-0.004461557,373731.64,498878.94,0.334858732,0.782813343,1.049628203,0.340840970
"Total U.S.",Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",182024386.70,150713520.30,-0.172014679,182381128.30,209702263.20,0.149802423,1.001959856,1.391396490,0.388674887
California,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",26492387.07,23919611.01,-0.097113788,32886713.54,36079772.47,0.097092673,1.241364678,1.508376221,0.215095167
"Great Lakes",Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",18653757.95,16046791.83,-0.139755546,18246113.46,21656443.05,0.186907179,0.978146790,1.349580856,0.379732439
Midsouth,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",18685745.65,16395882.53,-0.122545986,19240647.39,22090276.22,0.148104623,1.029696526,1.347306324,0.308449907
Northeast,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",26332221.19,21035843.09,-0.201136777,29702588.25,32842882.30,0.105724593,1.127994028,1.561281958,0.384122539
Plains,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",8577244.81,7445452.19,-0.131952934,8273477.23,10084815.50,0.218933131,0.964584480,1.354493353,0.404224700
"South Central",Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",26868532.11,19677190.35,-0.267649223,19878519.04,22587509.33,0.136277269,0.739843880,1.147903178,0.551547845
Southeast,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",24431412.50,20113034.55,-0.176755148,23324069.84,28053905.86,0.202787766,0.954675455,1.394812194,0.461032843
West,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",31983085.41,26079714.73,-0.184577898,30828999.55,36306658.44,0.177678775,0.963915744,1.392141701,0.444256628
Albany,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",609537.13,501792.05,-0.176765404,605586.30,622536.91,0.027990419,0.993518306,1.240627283,0.248721111
Atlanta,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",3408118.92,3053664.74,-0.104002879,3286385.72,3823211.46,0.163348369,0.964281409,1.252007600,0.298384048
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",4609844.58,3949123.44,-0.143328290,5437982.60,5953119.00,0.094729321,1.179645541,1.507453261,0.277886626
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",1500109.38,1212371.11,-0.191811524,1380422.24,1646119.09,0.192475059,0.920214392,1.357768321,0.475491292
Boise,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",536479.93,464064.66,-0.134982252,575126.71,701699.14,0.220077478,1.072037687,1.512071910,0.410465255
Boston,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",2929751.87,2441348.09,-0.166704825,3948884.18,4131814.97,0.046324677,1.347856188,1.692431726,0.255647109
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",865453.83,729686.81,-0.156873794,1013647.99,1066599.04,0.052238102,1.171232886,1.461721698,0.248019686
Charlotte,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",1656009.61,1386615.24,-0.162676815,1726444.75,2033995.78,0.178141248,1.042533054,1.466878281,0.407032876
Chicago,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",4602163.05,3120403.33,-0.321970278,4553921.15,4952406.28,0.087503741,0.989517559,1.587104536,0.603917507
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",1318921.65,1366044.06,0.035727980,1319104.17,1700345.48,0.289015314,1.000138386,1.244722282,0.244550054
Columbus,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",1123571.05,1122008.35,-0.001390835,1048148.77,1355236.93,0.292981464,0.932872712,1.207867068,0.294782293
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",6579598.28,5511161.85,-0.162386271,5046936.26,6019292.74,0.192662721,0.767058420,1.092200320,0.423881534
Denver,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",4377573.23,3586211.78,-0.180776290,4352061.64,5062442.58,0.163228602,0.994172207,1.411640719,0.419915694
Detroit,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",2090927.64,1960217.20,-0.062513134,2060969.45,2486418.44,0.206431489,0.985672296,1.268440273,0.286878284
"Grand Rapids",Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",821968.00,609799.34,-0.258122781,991165.27,1049380.59,0.058734224,1.205844108,1.720862149,0.427101677
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",3,"2022-03-20 00:00:00",1819725.19,1438998.13,-0.209222281,1820400.05,2112476.84,0.160446489,1.000370858,1.468019168,0.467474943
